SMILES,log10_KM
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-2.0395079621923955
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-3.331806902032596
Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,-0.8827287043442357
*O[C@@H]1O[C@H](COS(=O)(=O)O)[C@H](O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](*)[C@H](O)[C@H]2O)[C@H]1NC(C)=O,-1.4814860601221125
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1.1787606217770776
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-1.6575773191777938
N[C@@H](Cc1c[nH]cn1)C(=O)O,0.04139268515822508
C=C(OP(=O)(O)O)C(=O)O,-0.9172146296835499
Nc1cc[nH]c(=O)n1,0.5314789170422551
C=C(OP(=O)(O)O)C(=O)O,-2.129818655252878
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.0
O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,0.9867717342662449
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-0.06339983887710975
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,-2.769551078621726
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(O)(C(=O)O)C[C@@H]1O,0.04139268515822508
O=P(O)(O)O,0.14301480025409505
*C(=O)OC[C@@H](O)COP(=O)(O)O,-2.193820026016113
